state,x,y
Andhra Pradesh,-70.0, -130.0
Andaman and Nicobar Islands,130.0, -180.0
Arunachal Pradesh,192.0, 105.0
Assam,156.0, 70.0
Bihar,58.0, 56.0
Chandigarh,-79.0, 156.0
Chhattisgarh,-10.0, -14.0
Dadra and Nagal Haveli,-140.0, -34.0
Daman and Diu,-230,-30
Delhi,-77.0, 118.0
Goa,-148.0, -118.0
Gujarat,-180.0, 10.0
Haryana,-105.0, 129.0
Himachal Pradesh,-79.0, 168.0
Jharkhand,46.0, 25.0
Jammu and Kashmir,-107.0, 205.0
Karnataka,-130.0, -135.0
Kerala,-118.0, -220.0
Ladakh,-60.0, 221.0
Lakshadweep,-165.0, -205.0
Madhya Pradesh,-92.0, 18.0
Maharashtra,-126.0, -52.0
Manipur,194.0, 36.0
Meghalaya,126.0, 54.0
Mizoram,180.0, 12.0
Nagaland,204.0, 73.0
Odisha,36.0, -34.0
Punjab,-110.0, 148.0
Puducherry,-40.0, -186.0
Rajasthan,-143.0, 84.0
Sikkim,94.0, 95.0
Tamil Nadu,-75.0, -205.0
Telangana,-70.0, -80.0
Tripura,142.0, 20.0
Uttar Pradesh,-42.0, 83.0
Uttarakhand,-41.0, 142.0
West Bengal,80.0, 9.0




